###
###
###

TYPE = READOUT-RIGHT
VERSION = 12 May 2007

# MCM CHANNEL ID = HOLE ID OF EXTERNAL WAVEGUIDE @ READOUT-END
32 = 65
25 = 66
24 = 67
17 = 68
16 = 69
9 = 70
8 = 71
1 = 72
64 = 73
56 = 74
57 = 75
50 = 76
47 = 77
40 = 78
41 = 79
34 = 80
31 = 81
26 = 82
23 = 83
18 = 84
15 = 85
10 = 86
7 = 87
2 = 88
63 = 89
59 = 90
54 = 91
49 = 92
48 = 93
43 = 94
38 = 95
33 = 96
29 = 97
28 = 98
21 = 99
20 = 100
13 = 101
12 = 102
5 = 103
4 = 104
62 = 105
60 = 106
53 = 107
51 = 108
46 = 109
44 = 110
37 = 111
35 = 112
30 = 113
27 = 114
22 = 115
19 = 116
14 = 117
11 = 118
6 = 119
3 = 120
61 = 121
58 = 122
55 = 123
52 = 124
45 = 125
42 = 126
39 = 127
36 = 128
# eof
