###
###
###

TYPE = READOUT-LEFT
VERSION = 04 Jul 2006

# MCM CHANNEL ID = HOLE ID OF EXTERNAL WAVEGUIDE @ READOUT-END
 1 = 123
 2 = 124
 3 = 122
 4 = 121
 5 = 114
 6 = 115
 7 = 113
 8 = 108
 9 = 116
10 = 105
11 = 107
12 = 106
13 =  97
14 =  98
15 = 100
16 =  99
17 =  91
18 =  92
19 =  90
20 =  89
21 =  82
22 =  83
23 =  81
24 =  76
25 =  84
26 =  73
27 =  75
28 =  74
29 =  65
30 =  66
31 =  67
32 =  68
33 =  60
34 =  59
35 =  57
36 =  58
37 =  50
38 =  49
39 =  51
40 =  52
41 =  44
42 =  43
43 =  41
44 =  42
45 =  34
46 =  33
47 =  35
48 =  36
49 =  28
50 =  27
51 =  25
52 =  26
53 =  18
54 =  17
55 =  19
56 =  20
57 =  12
58 =  11
59 =   9
60 =  10
61 =   2
62 =   1
63 =   3
64 =   4
# eof
