Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.16  released 5-9-2005  

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  7-08-2005   9:09:06
Solution file PAR.T35.
Memory used for PAR.T35 arrays:       4.179 M
Reading keyword commands and data from file:
PAR.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-21.001,0.0)
(Zmax,Rmax) = (23.81233,60.8499985)
Z and R increments:    94   122

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  -21.0010       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.5243       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.0475       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.5708       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.0940       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.6173       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.1406       0.00000      1.422757E+00  0.000000E+00  1.422757E+00  0.000000E+00
  -17.6638       0.00000      1.393168E+00  0.000000E+00  1.393168E+00  0.000000E+00
  -17.1871       0.00000      1.357652E+00  0.000000E+00  1.357652E+00  0.000000E+00
  -16.7104       0.00000      1.323746E+00  0.000000E+00  1.323746E+00  0.000000E+00
  -16.2336       0.00000      1.293447E+00  0.000000E+00  1.293447E+00  0.000000E+00
  -15.7569       0.00000      1.266440E+00  0.000000E+00  1.266440E+00  0.000000E+00
  -15.2801       0.00000      1.242446E+00  0.000000E+00  1.242446E+00  0.000000E+00
  -14.8034       0.00000      1.221111E+00  0.000000E+00  1.221111E+00  0.000000E+00
  -14.3267       0.00000      1.202122E+00  0.000000E+00  1.202122E+00  0.000000E+00
  -13.8499       0.00000      1.185255E+00  0.000000E+00  1.185255E+00  0.000000E+00
  -13.3732       0.00000      1.170236E+00  0.000000E+00  1.170236E+00  0.000000E+00
  -12.8965       0.00000      1.156884E+00  0.000000E+00  1.156884E+00  0.000000E+00
  -12.4197       0.00000      1.144990E+00  0.000000E+00  1.144990E+00  0.000000E+00
  -11.9430       0.00000      1.134376E+00  0.000000E+00  1.134376E+00  0.000000E+00
  -11.4662       0.00000      1.124912E+00  0.000000E+00  1.124912E+00  0.000000E+00
  -10.9895       0.00000      1.116444E+00  0.000000E+00  1.116444E+00  0.000000E+00
