###
###
###

TYPE = READOUT-LEFT
VERSION = 12 May 2007

# MCM CHANNEL ID = HOLE ID OF EXTERNAL WAVEGUIDE @ READOUT-END
36 = 1
39 = 2
42 = 3
45 = 4
52 = 5
55 = 6
58 = 7
61 = 8
3 = 9
6 = 10
11 = 11
14 = 12
19 = 13
22 = 14
27 = 15
30 = 16
35 = 17
37 = 18
44 = 19
46 = 20
51 = 21
53 = 22
60 = 23
62 = 24
4 = 25
5 = 26
12 = 27
13 = 28
20 = 29
21 = 30
28 = 31
29 = 32
33 = 33
38 = 34
43 = 35
48 = 36
49 = 37
54 = 38
59 = 39
63 = 40
2 = 41
7 = 42
10 = 43
15 = 44
18 = 45
23 = 46
26 = 47
31 = 48
34 = 49
41 = 50
40 = 51
47 = 52
50 = 53
57 = 54
56 = 55
64 = 56
1 = 57
8 = 58
9 = 59
16 = 60
17 = 61
24 = 62
25 = 63
32 = 64
# eof
