###
###
###

TYPE = READOUT-RIGHT
VERSION = 04 Jul 2006

# MCM CHANNEL ID = HOLE ID OF EXTERNAL WAVEGUIDE @ READOUT-END
 1 =   6
 2 =   5
 3 =   7
 4 =   8
 5 =  15
 6 =  14
 7 =  16
 8 =  21
 9 =  13
10 =  24
11 =  22
12 =  23
13 =  32
14 =  31
15 =  29
16 =  30
17 =  38
18 =  37
19 =  39
20 =  40
21 =  47
22 =  46
23 =  48
24 =  53
25 =  45
26 =  56
27 =  54
28 =  55
29 =  64
30 =  63
31 =  62
32 =  61
33 =  69
34 =  70
35 =  72
36 =  71
37 =  79
38 =  80
39 =  78
40 =  77
41 =  85
42 =  86
43 =  88
44 =  87
45 =  95
46 =  96
47 =  94
48 =  93
49 = 101
50 = 102
51 = 104
52 = 103
53 = 111
54 = 112
55 = 110
56 = 109
57 = 117
58 = 118
59 = 120
60 = 119
61 = 127
62 = 128
63 = 126
64 = 125
# eof
