#Nchannels
116
#	ADC	TDC	TOF 
#crate	board	channel	crate	board	channel	station	plane	slab	pmt	pmtNum	pmtName 
1	4	0	1	3	04	0	0	0	0	022	tof0s0
1	0	0	1	1	16	0	0	1	0	024	tof0s1
1	0	1	1	1	17	0	0	2	0	026	tof0s2
1	0	2	1	1	18	0	0	3	0	028	tof0s3
1	0	3	1	1	19	0	0	4	0	030	tof0s4
1	0	4	1	1	20	0	0	5	0	032	tof0s5
1	0	5	1	1	21	0	0	6	0	034	tof0s6
1	0	6	1	1	22	0	0	7	0	036	tof0s7
1	0	7	1	1	23	0	0	8	0	038	tof0s8
1	4	1	1	3	06	0	0	9	0	040	tof0s9
1	4	4	1	3	12	0	0	0	1	021	tof0n0
1	2	0	1	2	16	0	0	1	1	023	tof0n1
1	2	1	1	2	17	0	0	2	1	025	tof0n2
1	2	2	1	2	18	0	0	3	1	027	tof0n3
1	2	3	1	2	19	0	0	4	1	029	tof0n4
1	2	4	1	2	20	0	0	5	1	031	tof0n5
1	2	5	1	2	21	0	0	6	1	033	tof0n6
1	2	6	1	2	22	0	0	7	1	035	tof0n7
1	2	7	1	2	23	0	0	8	1	037	tof0n8
1	4	5	1	3	14	0	0	9	1	039	tof0n9
1	4	6	1	3	13	0	1	0	1	020	tof0t0
1	3	0	1	2	24	0	1	1	1	018	tof0t1 
1	3	1	1	2	25	0	1	2	1	016	tof0t2
1	3	2	1	2	26	0	1	3	1	014	tof0t3
1	3	3	1	2	27	0	1	4	1	012	tof0t4
1	3	4	1	2	28	0	1	5	1	010	tof0t5
1	3	5	1	2	29	0	1	6	1	08	tof0t6
1	3	6	1	2	30	0	1	7	1	06	tof0t7
1	3	7	1	2	31	0	1	8	1	04	tof0t8
1	4	7	1	3	15	0	1	9	1	02	tof0t9
1	4	2	1	3	05	0	1	0	0	019	tof0b0
1	1	0	1	1	24	0	1	1	0	017	tof0b1
1	1	1	1	1	25	0	1	2	0	015	tof0b2
1	1	2	1	1	26	0	1	3	0	013	tof0b3
1	1	3	1	1	27	0	1	4	0	011	tof0b4
1	1	4	1	1	28	0	1	5	0	09	tof0b5
1	1	5	1	1	29	0	1	6	0	07	tof0b6
1	1	6	1	1	30	0	1	7	0	05	tof0b7
1	1	7	1	1	31	0	1	8	0	03	tof0b8
1	4	3	1	3	07	0	1	9	0	01	tof0b9
1	5	0	1	1	2	1	0	0	0	116	tof1s0
1	5	1	1	1	3	1	0	1	0	118	tof1s1
1	5	2	1	1	4	1	0	2	0	120	tof1s2
1	5	3	1	1	5	1	0	3	0	122	tof1s3
