#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-162.284 -127.74 15050 -175.174 -144.041 348.879 59.9912 -13 875 1001 1 1
-210.205 205.38 15050 -124.32 119.985 191.494 116.416 -13 1131 1001 1 1
-128.156 16.9484 15050 -161.567 22.7474 352.946 66.2724 211 1494 1 0 1
19.0888 44.7176 15050 9.94848 10.9177 390.036 66.9575 211 1501 1 0 1
-173.415 -53.2957 15050 -180.34 -65.2606 299.264 89.2839 -13 2024 1001 1 1
-37.5681 -14.9151 15050 -76.5014 -31.1101 381.875 69.1257 211 3040 1 0 1
60.7483 -46.556 15050 84.1228 -64.611 372.139 70.2933 -13 3303 1001 1 1
-157.656 16.8242 15050 -109.201 12.9866 217.76 69.8024 -13 3419 1001 1 1
-81.2903 -46.8529 15050 -97.8733 -56.0265 385.306 53.7617 -13 5016 1001 1 1
-190.34 -97.3553 15050 -197.079 -101.002 315.515 163.971 -13 6721 1001 1 1
-261.436 -43.4157 15050 -244.659 -44.1841 305.608 72.5151 211 7397 1 0 1
31.5209 31.0916 15050 5.32685 3.89641 380.864 126.946 211 7929 1 0 1
-183.968 -45.1245 15050 -198.276 -49.3096 332.513 72.8612 211 8150 1 0 1
-194.031 60.6662 15050 -202.432 59.1426 323.542 73.8054 211 9018 1 0 1
-244.936 -130.406 15050 142.023 -240.545 -305.888 78.6869 2112 9018 1002 1 1
-148.003 13.5547 15050 -174.471 20.0911 342.554 72.1898 211 9762 1 0 1
-120.408 -12.9666 15050 -94.0527 -9.27296 347.101 57.5065 -13 11439 1001 1 1
-77.879 -85.0656 15050 -100.424 -109.876 365.526 97.7698 211 12984 1 0 1
-18.4978 10.0321 15050 0.162136 -3.4468 289.541 59.6316 -13 13371 1001 1 1
-22.3173 117.764 15050 -19.5266 76.4222 315.15 88.387 -13 14173 1001 1 1
33.9461 124.788 15050 28.0287 108.401 378.625 66.545 211 14319 1 0 1
-231.99 31.8162 15050 -201.691 35.1367 288.115 64.6813 -13 14679 1001 1 1
-3.78675 -24.9334 15050 -36.9365 -79.4103 382.797 65.1167 211 15437 1 0 1
-289.507 -122.717 15050 -150.276 -65.2031 169.783 101.349 -13 16462 1001 1 1
-228.067 -129.918 15050 -213.621 -123.817 305.494 72.8752 -13 16493 1001 1 1
-242.627 136.415 15050 -217.938 120.769 294.588 66.7597 211 19070 1 0 1
-287.133 34.7568 15050 -128.905 -34.6571 98.9264 70.5399 2112 19412 1006 1005 1
-45.7708 -2.69164 15050 -53.1908 0.854134 332.156 55.0696 -13 19854 1001 1 1
-42.3934 -12.6759 15050 -81.6845 -17.0533 378.998 64.4754 211 20101 1 0 1
-149.679 151.922 15050 -79.1868 77.7425 182.458 63.5511 -13 20369 1001 1 1
-33.1146 14.4343 15050 -40.2989 -10.9302 280.218 130.376 -13 21262 1001 1 1
-120.348 95.2328 15050 -101.223 71.4508 234.833 63.6022 -13 22699 1001 1 1
-90.284 74.6457 15050 -57.0536 41.1865 277.702 65.8904 -13 22862 1001 1 1
-206.206 44.7705 15050 -21.9326 6.72109 67.5643 79.2316 22 24128 1009 1007 1
-169.436 54.1588 15050 -5.14373 16.7938 99.2932 79.2134 22 24128 1013 1011 1
-5.23252 104.258 15050 -8.28668 81.072 386.274 81.9548 211 24624 1 0 1
-105.069 -27.4678 15050 -148.543 -31.4718 362.189 71.6648 211 25439 1 0 1
-191.273 39.5564 15050 -206.296 41.6596 326.256 68.63 211 26396 1 0 1
13.8404 4.51118 15050 -13.2415 -26.5632 388.059 91.0227 211 26403 1 0 1
-81.4284 -92.574 15050 -108.018 -117.189 357.693 218.635 -13 27259 1001 1 1
-287.209 -7.92804 15050 -284.945 -45.724 259.844 65.6066 211 27733 1 0 1
-28.9216 53.844 15050 -24.5763 14.0008 225.32 133.323 -13 27789 1001 1 1
-194.231 -133.375 15050 -194.772 -137.907 306.048 180.466 211 27841 1 0 1
-131.547 83.8977 15050 -107.751 69.6963 274.54 55.4276 -13 29520 1001 1 1
9.62575 115.373 15050 9.6971 89.7469 386.646 72.7838 211 29598 1 0 1
-21.5425 -17.2183 15050 -31.297 -36.2469 266.262 195.532 -13 29965 1001 1 1
-137.516 -100.162 15050 -155.459 -125.645 342.05 74.9546 211 29970 1 0 1
138.187 101.279 15050 98.3214 72.7384 293.947 75.2127 -13 30158 1001 1 1
2.40754 -36.5264 15050 -17.1595 -67.8698 357.043 99.4465 -13 30634 1001 1 1
68.3082 -16.3639 15050 62.9969 -17.7887 381.694 53.4539 -13 31316 1001 1 1
-155.415 -40.3902 15050 -117.577 -46.3605 223.904 156.887 -13 32423 1001 1 1
-9.1419 -4.13991 15050 -11.716 11.7131 331.513 55.5908 -13 32762 1001 1 1
-222.168 -81.6602 15050 -184.155 -71.5495 255.635 91.0597 -13 33692 1001 1 1
-171.109 -92.0151 15050 -182.764 -102.123 335.138 69.5327 211 34659 1 0 1
52.8426 75.667 15050 35.6227 45.3271 326.134 97.6178 -13 34684 1001 1 1
-159.705 -26.0842 15050 -184.922 -32.9447 342.112 74.6467 211 35114 1 0 1
-156.356 284.229 15050 -35.3604 68.9622 48.9268 201 22 35191 1006 1004 1
-96.0444 -49.8799 15050 -109.507 -60.6828 317.119 78.338 -13 35486 1001 1 1
